"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.01.2020","44,30","44,99","45,00","44,11","16,07M","-2,32%"
"24.01.2020","45,35","45,51","46,09","45,08","8,06M","0,11%"
"23.01.2020","45,30","44,53","45,90","44,05","15,97M","1,30%"
"22.01.2020","44,72","46,06","46,72","44,50","18,21M","-3,20%"
"21.01.2020","46,20","47,30","47,38","45,80","19,38M","-2,80%"
"20.01.2020","47,53","47,12","48,92","46,90","21,90M","0,93%"
"17.01.2020","47,09","45,10","47,48","44,96","26,71M","4,41%"
"16.01.2020","45,10","44,51","45,10","44,22","16,24M","1,58%"
"15.01.2020","44,40","44,28","44,72","43,51","21,09M","0,27%"
"14.01.2020","44,28","43,33","44,40","43,29","34,20M","-0,74%"
"13.01.2020","44,61","43,62","44,61","43,50","30,40M","2,93%"
"10.01.2020","43,34","42,76","43,50","42,74","15,26M","1,38%"
"09.01.2020","42,75","42,41","42,91","42,33","14,13M","1,11%"
"08.01.2020","42,28","42,15","42,53","41,91","9,92M","-0,05%"
"06.01.2020","42,30","42,41","42,47","41,83","6,51M","-0,59%"
"03.01.2020","42,55","42,48","42,80","42,17","7,27M","1,43%"
"30.12.2019","41,95","42,20","42,57","41,91","8,12M","-0,40%"
"27.12.2019","42,12","41,45","42,28","41,45","7,52M","1,71%"
"26.12.2019","41,41","41,10","41,50","41,00","4,17M","0,63%"
"25.12.2019","41,15","41,14","41,20","41,00","2,56M","0,22%"
"24.12.2019","41,06","41,12","41,20","41,02","2,71M","-0,15%"
"23.12.2019","41,12","40,80","41,19","40,80","8,50M","0,78%"
"20.12.2019","40,80","41,25","41,25","40,73","8,10M","-0,54%"
"19.12.2019","41,02","41,03","41,30","40,80","9,76M","0,00%"
"18.12.2019","41,02","41,60","41,65","40,81","21,00M","-1,44%"
"17.12.2019","41,62","41,51","41,69","41,10","12,20M","0,26%"
"16.12.2019","41,51","41,57","41,90","41,01","12,79M","-0,22%"
"13.12.2019","41,60","40,67","41,60","40,66","19,28M","2,46%"
"12.12.2019","40,60","39,95","40,84","39,95","17,15M","2,06%"
"11.12.2019","39,78","39,15","40,06","38,88","24,41M","1,84%"
"10.12.2019","39,06","39,16","39,28","38,69","11,84M","-0,48%"
"09.12.2019","39,25","39,15","39,35","38,92","7,68M","0,49%"
"06.12.2019","39,06","38,67","39,10","38,66","10,32M","0,77%"
"05.12.2019","38,76","38,12","38,90","37,87","14,21M","1,73%"
"04.12.2019","38,10","38,20","38,51","37,80","12,97M","-0,16%"
"03.12.2019","38,16","39,40","39,42","38,16","16,02M","-3,25%"
"02.12.2019","39,44","39,09","39,44","38,95","9,16M","1,18%"
"29.11.2019","38,98","38,97","39,02","38,68","12,09M","-0,15%"
"28.11.2019","39,04","38,78","39,05","38,52","8,35M","1,06%"
"27.11.2019","38,63","38,64","38,79","38,26","8,15M","-0,05%"
"26.11.2019","38,65","38,90","39,09","38,47","17,65M","-0,59%"
"25.11.2019","38,88","38,44","38,97","38,27","8,99M","1,65%"
"22.11.2019","38,25","37,77","38,34","37,77","7,04M","0,98%"
"21.11.2019","37,88","38,12","38,32","37,83","7,27M","-1,23%"
"20.11.2019","38,35","38,28","38,45","37,91","9,49M","0,08%"
"19.11.2019","38,32","37,90","38,35","37,80","7,52M","1,00%"
"18.11.2019","37,94","38,01","38,25","37,55","10,55M","-0,11%"
"15.11.2019","37,98","37,21","37,98","36,86","10,91M","2,10%"
"14.11.2019","37,20","38,26","38,95","36,77","24,15M","-2,95%"
"13.11.2019","38,33","38,53","38,60","37,65","11,01M","-0,70%"
"12.11.2019","38,60","38,10","38,85","38,08","10,42M","1,31%"
"11.11.2019","38,10","38,50","38,89","37,90","10,57M","-1,27%"
"08.11.2019","38,59","39,20","39,25","38,45","9,87M","-1,66%"
"07.11.2019","39,24","38,50","39,66","38,14","18,24M","1,95%"
"06.11.2019","38,49","37,28","38,49","37,27","13,63M","3,25%"
"05.11.2019","37,28","37,10","37,52","36,98","8,47M","0,57%"
"01.11.2019","37,07","36,81","37,10","36,62","7,83M","1,48%"
"31.10.2019","36,53","37,25","38,02","36,50","26,46M","-1,00%"
"30.10.2019","36,90","37,20","37,32","36,58","10,48M","-1,07%"
"29.10.2019","37,30","36,20","37,30","36,06","11,04M","3,12%"
"28.10.2019","36,17","35,49","36,99","35,45","10,65M","1,74%"
"25.10.2019","35,55","36,12","36,20","35,19","11,96M","-1,80%"
"24.10.2019","36,20","36,30","36,45","36,01","9,08M","-0,28%"
"23.10.2019","36,30","36,66","36,94","36,05","11,21M","-1,41%"
"22.10.2019","36,82","36,05","36,84","35,94","9,89M","2,31%"
"21.10.2019","35,99","36,55","36,70","35,81","7,98M","-1,56%"
"18.10.2019","36,56","37,15","37,26","36,55","7,75M","-1,72%"
"17.10.2019","37,20","37,00","37,52","36,78","8,48M","0,59%"
"16.10.2019","36,98","36,30","37,17","36,30","10,46M","2,15%"
"15.10.2019","36,20","36,60","36,78","35,87","13,88M","-1,15%"
"14.10.2019","36,62","37,15","37,40","36,38","12,41M","-2,63%"
"11.10.2019","37,61","37,34","38,24","37,11","22,39M","0,86%"
"10.10.2019","37,29","36,72","37,30","36,45","11,25M","2,08%"
"09.10.2019","36,53","37,10","37,34","36,53","9,89M","-1,32%"
"08.10.2019","37,02","37,00","37,17","36,73","4,74M","0,05%"
"07.10.2019","37,00","37,11","37,49","36,67","7,61M","0,00%"
"04.10.2019","37,00","36,80","37,36","36,65","15,28M","0,54%"
"03.10.2019","36,80","37,65","37,84","36,26","22,27M","-2,39%"
"02.10.2019","37,70","38,81","38,88","37,63","9,61M","-2,58%"
"01.10.2019","38,70","39,10","39,34","38,62","8,23M","-1,17%"
"30.09.2019","39,16","39,30","39,42","38,87","6,63M","-0,10%"
"27.09.2019","39,20","39,45","39,74","39,20","4,60M","-0,78%"
"26.09.2019","39,51","39,40","39,95","39,19","7,16M","0,46%"
"25.09.2019","39,33","39,75","39,80","38,77","10,95M","-1,03%"
"24.09.2019","39,74","40,33","40,62","39,73","6,71M","-1,63%"
"23.09.2019","40,40","40,80","40,80","40,20","5,96M","-0,39%"
"20.09.2019","40,56","41,10","41,27","40,55","8,99M","-1,98%"
"19.09.2019","41,38","41,10","41,40","41,08","8,36M","0,58%"
"18.09.2019","41,14","41,56","41,56","41,10","6,55M","-0,51%"
"17.09.2019","41,35","41,40","41,53","41,15","5,43M","-0,51%"
"16.09.2019","41,56","41,39","41,56","40,95","7,86M","0,61%"
"13.09.2019","41,31","41,31","41,52","40,91","7,75M","-0,39%"
"12.09.2019","41,47","41,60","42,20","41,28","12,09M","-1,03%"
"11.09.2019","41,90","41,35","42,00","41,16","12,50M","1,09%"
"10.09.2019","41,45","41,14","41,45","40,91","8,25M","0,90%"
"09.09.2019","41,08","41,30","41,59","40,66","8,32M","-0,82%"
"06.09.2019","41,42","41,40","41,58","41,07","8,47M","-0,14%"
"05.09.2019","41,48","41,22","41,60","41,01","6,87M","1,00%"
"04.09.2019","41,07","41,00","41,63","40,43","13,65M","0,66%"
"03.09.2019","40,80","41,34","41,48","40,51","5,72M","-0,95%"
"02.09.2019","41,19","41,90","42,03","41,10","6,69M","-1,55%"
"30.08.2019","41,84","40,80","41,84","40,80","13,69M","2,73%"
"29.08.2019","40,73","40,49","41,20","40,36","11,27M","1,07%"
"28.08.2019","40,30","39,67","40,35","39,38","9,35M","1,59%"
"27.08.2019","39,67","38,96","39,75","38,96","13,58M","1,85%"
"26.08.2019","38,95","38,60","39,33","38,52","6,37M","0,13%"
"23.08.2019","38,90","38,97","39,00","38,40","6,21M","0,34%"
"22.08.2019","38,77","38,44","39,05","38,31","7,61M","0,86%"
"21.08.2019","38,44","38,34","38,80","38,01","8,75M","0,84%"
"20.08.2019","38,12","38,24","38,52","37,64","12,72M","-0,50%"
"19.08.2019","38,31","38,70","38,85","38,12","7,46M","-0,18%"
"16.08.2019","38,38","38,37","38,68","37,92","8,71M","0,42%"
"15.08.2019","38,22","39,44","39,55","38,14","9,82M","-3,19%"
"14.08.2019","39,48","38,95","39,73","38,30","20,02M","1,23%"
"13.08.2019","39,00","40,00","40,05","38,63","16,63M","-2,72%"
"12.08.2019","40,09","40,50","40,67","39,96","4,76M","-0,60%"
"09.08.2019","40,33","40,45","40,52","39,78","10,94M","0,32%"
"08.08.2019","40,20","39,92","40,66","39,92","7,27M","1,01%"
"07.08.2019","39,80","40,70","40,80","39,76","9,36M","-1,61%"
"06.08.2019","40,45","40,20","41,08","39,61","18,69M","1,00%"
"05.08.2019","40,05","40,34","40,63","39,31","16,81M","-0,72%"
"02.08.2019","40,34","41,85","42,47","40,34","24,75M","-4,63%"
"01.08.2019","42,30","42,72","42,92","41,90","15,37M","-1,35%"
"31.07.2019","42,88","43,12","43,14","42,72","10,92M","-0,56%"
"30.07.2019","43,12","43,52","43,52","43,05","5,24M","-0,53%"
"29.07.2019","43,35","43,52","43,80","43,20","6,82M","-0,37%"
"26.07.2019","43,51","43,91","44,00","43,51","7,30M","-1,11%"
"25.07.2019","44,00","44,14","44,28","43,88","5,22M","-0,34%"
"24.07.2019","44,15","44,61","44,63","43,91","3,66M","-0,96%"
"23.07.2019","44,58","45,00","45,00","44,30","3,60M","-0,40%"
"22.07.2019","44,76","44,50","44,95","44,17","3,59M","0,63%"
"19.07.2019","44,48","44,20","44,59","44,05","6,30M","0,98%"
"18.07.2019","44,05","44,11","44,34","43,72","4,76M","-0,14%"
"17.07.2019","44,11","43,77","44,30","43,65","6,01M","0,78%"
"16.07.2019","43,77","44,22","44,48","43,77","8,25M","-0,91%"
"15.07.2019","44,17","44,64","44,70","44,11","5,49M","-0,56%"
"12.07.2019","44,42","44,43","44,74","44,30","2,86M","-0,47%"
"11.07.2019","44,63","44,74","44,99","44,34","5,08M","-0,09%"
"10.07.2019","44,67","44,70","45,15","44,42","8,35M","0,38%"
"09.07.2019","44,50","44,74","44,74","44,30","5,90M","-0,58%"
"08.07.2019","44,76","44,50","44,76","44,22","7,53M","0,31%"
"05.07.2019","44,62","44,33","44,79","44,20","15,95M","1,23%"
"04.07.2019","44,08","45,05","45,12","43,79","19,89M","-2,17%"
"03.07.2019","45,06","44,99","45,10","44,85","3,29M","-0,22%"
"02.07.2019","45,16","45,41","45,41","44,95","4,78M","0,13%"
"01.07.2019","45,10","45,49","45,56","45,10","4,22M","0,27%"
"28.06.2019","44,98","45,10","45,41","44,67","6,30M","-0,44%"
"27.06.2019","45,18","45,67","45,97","45,09","4,51M","-0,88%"
"26.06.2019","45,58","45,75","46,13","45,56","7,86M","-0,35%"
"25.06.2019","45,74","45,26","45,75","44,99","6,01M","0,82%"
"24.06.2019","45,37","44,88","45,57","44,55","6,02M","1,54%"
"21.06.2019","44,68","45,10","45,13","44,44","7,20M","-0,89%"
"20.06.2019","45,08","46,50","46,55","44,79","11,87M","-2,84%"
"19.06.2019","46,40","45,62","46,45","45,41","12,42M","-1,28%"
"18.06.2019","47,00","45,90","47,02","45,70","11,08M","2,60%"
"17.06.2019","45,81","46,73","47,00","45,81","12,06M","-1,80%"
"14.06.2019","46,65","46,51","46,77","46,33","10,48M","0,11%"
"13.06.2019","46,60","45,75","46,60","45,75","12,46M","1,19%"
"11.06.2019","46,05","45,30","46,05","45,15","11,37M","1,34%"
"10.06.2019","45,44","44,39","45,44","44,25","8,78M","-0,35%"
"07.06.2019","45,60","45,18","45,60","45,10","8,86M","0,77%"
"06.06.2019","45,25","44,72","45,25","44,53","9,03M","1,34%"
"05.06.2019","44,65","44,65","44,77","44,42","5,83M","0,07%"
"04.06.2019","44,62","44,97","44,97","44,52","12,45M","-0,49%"
"03.06.2019","44,84","44,55","44,84","44,39","5,24M","0,40%"
"31.05.2019","44,66","44,60","44,66","44,24","7,20M","-0,02%"
"30.05.2019","44,67","44,80","45,11","44,41","7,47M","-0,38%"
"29.05.2019","44,84","44,62","44,94","44,42","6,34M","0,02%"
"28.05.2019","44,83","44,35","44,95","44,05","14,43M","1,38%"
"27.05.2019","44,22","44,00","44,38","43,94","3,52M","0,73%"
"24.05.2019","43,90","44,40","44,44","43,80","9,24M","-0,68%"
"23.05.2019","44,20","44,90","45,10","44,09","5,06M","-1,76%"
"22.05.2019","44,99","44,50","45,34","44,20","7,30M","1,67%"
"21.05.2019","44,25","44,20","44,85","43,85","5,69M","0,25%"
"20.05.2019","44,14","43,01","44,39","42,95","7,02M","2,84%"
"17.05.2019","42,92","43,42","43,66","42,75","4,67M","-1,13%"
"16.05.2019","43,41","43,30","43,95","43,16","4,35M","0,67%"
"15.05.2019","43,12","43,20","43,52","43,01","5,52M","-0,21%"
"14.05.2019","43,21","43,50","43,92","43,12","6,26M","-0,32%"
"13.05.2019","43,35","43,30","43,87","43,30","5,35M","0,44%"
"10.05.2019","43,16","44,80","45,00","43,16","15,84M","-3,29%"
"08.05.2019","44,63","45,90","45,90","44,63","6,41M","-2,81%"
"07.05.2019","45,92","45,65","45,99","45,33","6,20M","0,48%"
"06.05.2019","45,70","44,88","45,70","44,77","3,59M","0,99%"
"03.05.2019","45,25","44,88","45,48","44,81","5,09M","0,85%"
"02.05.2019","44,87","44,10","45,11","44,07","6,13M","1,52%"
"30.04.2019","44,20","44,10","44,20","43,80","8,33M","0,09%"
"29.04.2019","44,16","44,42","44,47","44,02","1,64M","-0,76%"
"26.04.2019","44,50","43,99","44,50","43,85","3,30M","1,04%"
"25.04.2019","44,04","44,01","44,19","43,84","2,84M","0,00%"
"24.04.2019","44,04","44,09","44,09","43,74","3,74M","-0,11%"
"23.04.2019","44,09","44,22","44,32","43,96","1,93M","-0,25%"
"22.04.2019","44,20","44,27","44,41","44,15","984,00K","-0,05%"
"19.04.2019","44,22","44,23","44,38","44,13","731,50K","0,00%"
"18.04.2019","44,22","44,19","44,22","44,00","1,89M","0,05%"
"17.04.2019","44,20","44,30","44,30","43,91","4,49M","0,52%"
"16.04.2019","43,97","44,03","44,33","43,91","3,61M","-0,07%"
"15.04.2019","44,00","44,45","44,68","44,00","4,26M","-1,03%"
"12.04.2019","44,46","44,05","44,46","43,91","7,83M","0,84%"
"11.04.2019","44,09","44,42","44,66","43,71","4,40M","-0,74%"
"10.04.2019","44,42","44,95","45,07","44,42","5,17M","-1,42%"
"09.04.2019","45,06","45,18","45,27","44,73","3,95M","-0,07%"
"08.04.2019","45,09","45,00","45,13","44,62","3,86M","0,56%"
"05.04.2019","44,84","45,06","45,34","44,75","3,59M","-0,91%"
"04.04.2019","45,25","45,40","45,75","45,01","3,87M","-0,35%"
"03.04.2019","45,41","45,54","45,80","45,35","3,91M","0,09%"
"02.04.2019","45,37","45,77","45,94","45,20","4,58M","-1,31%"
"01.04.2019","45,97","45,72","46,19","45,34","6,03M","0,15%"
"29.03.2019","45,90","45,12","45,90","44,92","5,70M","1,73%"
"28.03.2019","45,12","44,79","45,12","44,65","3,69M","1,12%"
"27.03.2019","44,62","45,34","45,46","44,62","5,64M","-1,28%"
"26.03.2019","45,20","45,14","45,65","44,81","4,97M","0,11%"
"25.03.2019","45,15","44,50","45,49","44,20","5,39M","0,92%"
"22.03.2019","44,74","45,20","45,28","44,55","4,69M","-1,15%"
"21.03.2019","45,26","45,20","45,45","44,85","7,83M","0,47%"
"20.03.2019","45,05","45,56","45,56","44,85","6,75M","-1,12%"
"19.03.2019","45,56","46,15","46,46","45,40","7,66M","-1,66%"
"18.03.2019","46,33","45,33","46,39","45,05","9,84M","2,27%"
"15.03.2019","45,30","45,20","45,40","44,80","31,81M","0,24%"
"14.03.2019","45,19","44,98","45,19","44,71","9,02M","0,49%"
"13.03.2019","44,97","44,65","45,00","44,20","7,53M","0,72%"
"12.03.2019","44,65","44,45","44,65","44,05","5,44M","1,00%"
"11.03.2019","44,21","43,30","44,41","43,10","9,71M","1,63%"
"07.03.2019","43,50","43,65","43,86","43,45","2,52M","-0,57%"
"06.03.2019","43,75","43,50","43,92","43,50","4,87M","0,57%"
"05.03.2019","43,50","43,96","44,00","43,50","4,22M","-1,07%"
"04.03.2019","43,97","44,09","44,30","43,80","2,09M","-0,27%"
"01.03.2019","44,09","44,60","44,67","43,80","10,53M","-0,92%"
"28.02.2019","44,50","44,29","44,95","44,10","14,53M","0,23%"
"27.02.2019","44,40","44,81","45,15","44,30","11,87M","-1,31%"
"26.02.2019","44,99","44,30","44,99","44,25","7,04M","0,65%"
"25.02.2019","44,70","43,80","44,80","43,73","11,34M","2,05%"
"22.02.2019","43,80","43,00","43,90","42,84","8,88M","1,86%"
"21.02.2019","43,00","43,23","43,27","42,66","5,79M","0,00%"
"20.02.2019","43,00","42,88","43,43","42,85","8,94M","0,21%"
"19.02.2019","42,91","42,95","43,10","42,70","3,83M","-0,07%"
"18.02.2019","42,94","43,20","43,38","42,80","3,35M","-0,58%"
"15.02.2019","43,19","43,08","43,50","42,74","7,07M","0,37%"
"14.02.2019","43,03","41,87","43,30","41,86","15,53M","1,44%"
"13.02.2019","42,42","43,47","43,53","42,26","14,59M","-2,21%"
"12.02.2019","43,38","43,30","44,20","43,27","10,33M","0,30%"
"11.02.2019","43,25","43,11","43,57","43,10","8,15M","-0,14%"
"08.02.2019","43,31","43,80","43,98","43,20","7,16M","-1,46%"
"07.02.2019","43,95","44,68","44,73","43,73","7,93M","-1,46%"
"06.02.2019","44,60","44,17","44,60","44,12","9,35M","1,16%"
"05.02.2019","44,09","43,98","44,45","43,86","6,41M","0,57%"
"04.02.2019","43,84","43,90","44,25","43,74","4,93M","0,25%"
"01.02.2019","43,73","43,41","44,34","43,20","6,65M","0,99%"
"31.01.2019","43,30","43,98","44,20","43,30","10,06M","-1,01%"
"30.01.2019","43,74","44,40","44,62","43,11","16,54M","-2,08%"
"29.01.2019","44,67","45,00","45,14","44,44","7,44M","-0,95%"
"28.01.2019","45,10","44,75","45,33","44,46","6,87M","0,24%"
"25.01.2019","44,99","44,55","44,99","44,08","8,66M","0,92%"
"24.01.2019","44,58","44,21","44,58","43,60","9,28M","0,18%"
"23.01.2019","44,50","44,02","44,64","43,75","6,50M","1,18%"
"22.01.2019","43,98","44,58","44,83","43,63","9,23M","-1,54%"
"21.01.2019","44,67","44,38","44,85","44,08","3,50M","0,65%"
"18.01.2019","44,38","43,75","44,41","43,38","8,62M","1,79%"
"17.01.2019","43,60","43,86","43,96","43,02","8,84M","-0,27%"
"16.01.2019","43,72","43,92","44,23","42,96","11,81M","0,09%"
"15.01.2019","43,68","45,01","45,16","43,66","13,19M","-2,87%"
"14.01.2019","44,97","45,52","45,52","44,45","6,48M","-1,38%"
"11.01.2019","45,60","44,95","45,76","44,77","7,14M","1,45%"
"10.01.2019","44,95","44,55","44,95","44,17","9,15M","0,33%"
"09.01.2019","44,80","43,23","44,80","43,02","12,20M","3,80%"
"08.01.2019","43,16","43,43","43,70","42,58","7,33M","-0,48%"
"04.01.2019","43,37","42,98","43,62","42,80","5,64M","0,91%"
"03.01.2019","42,98","43,17","43,30","42,55","3,59M","-0,14%"
